X,Y,OBJECTID,PANTHERID,SEX,AGE,LOCATION,CAUSE,YEAR,Date,PANTHERID2,MORTID,AGE_UNITS,COUNTY,last_edited_date
626465.5656,260632.3932,1,UCFP478,Male,2.25,Bonita Beach Road in the median turn lane.  Location was 1.1km (0.69 miles) east of intersection with Bonita Grande Dr.,Vehicular trauma,2024,2024/12/26 00:00:00+00,,MN-01264,Years,Lee,2025/08/22 19:21:02+00
650092.332800001,264970.7258,2,UCFP479,Male,1.75,"South shoulder of Immokalee Road, 3.2km east of the junction with Oil Well Grade Road",Vehicular trauma,2025,2025/01/10 00:00:00+00,,MN-01267,Years,Collier,2025/08/22 19:21:02+00
696947.612399999,267377.1117,3,UCFP480,Female,10.5,Found on the side of CR-833 1/4 of a mile south of McDaniel's Ranch Rd,Vehicular trauma,2025,2025/02/24 00:00:00+00,,MN-01268,Years,Hendry,2025/08/22 19:21:02+00
641054.3979,302851.965,4,UCFP481,Male,1.5,Median on SR-80 East of intersection with Silk Bay Blvd.,Vehicular trauma,2025,2025/03/06 00:00:00+00,,MN-01269,Years,Collier,2025/08/22 19:21:02+00
655215.827599999,280821.1504,5,UCFP482,Male,4.5,"SR29, 2.5km north of the junction with SR82",Vehicular trauma,2025,2025/03/10 00:00:00+00,,MN-01270,Years,Collier,2025/08/22 19:21:02+00
676518.307500001,269578.5992,6,UCFP483,Male,4.5,"Brown Grade, south of CR 846",Intraspecific aggression,2025,2025/03/28 00:00:00+00,,MN-01271,Months,Hendry,2025/08/22 19:21:02+00
655337.934500001,276431.9707,7,UCFP484,Male,1.25,"SR 29, 1.2 miles south of SR 82",Vehicular trauma,2025,2025/05/01 00:00:00+00,,MN-01272,Years,Collier,2025/08/22 19:21:02+00
672861.3378,291957.3501,8,UCFP485,Male,4.5,"Keri Rd, 3.4 miles east of Wild Cow Grade",Vehicular trauma,2025,2025/05/02 00:00:00+00,,MN-01273,Years,Hendry,2025/08/22 19:21:02+00
701482.7304,259817.2812,9,UCFP486,Unknown,4.5,"Josie Billie Hwy, 0.1 mile east of S Boundary Rd",Vehicular trauma,2025,2025/05/04 00:00:00+00,,MN-01275,Months,Hendry,2025/08/22 19:21:02+00
665015.139600001,240279.592,10,UCFP487,Female,2.5,"SR 29, 0.9 miles south of I-75",Vehicular trauma,2025,2025/05/06 00:00:00+00,,MN-01274,Years,Collier,2025/08/22 19:21:02+00
