"panther_id","sex","age","age_unit"
"FP001","Male","13","Years"
"FP002","Male","14","Years"
"FP003","Female","9","Years"
"FP004","Male","12","Years"
"FP005","Female","8.5","Years"
"FP006","Male","7","Years"
"FP007","Male","10","Years"
"FP008","","",""
"FP009","","",""
"FP010","Male","18","Months"
"FP011","Female","19.5","Years"
"FP012","Male","13.5","Years"
"FP013","Male","7","Years"
"FP014","Female","10.5","Years"
"FP015","Female","7","Years"
"FP016","Male","14","Years"
"FP017","Male","9","Years"
"FP018","Female","10.5","Years"
"FP019","Female","11.5","Years"
"FP020","","",""
"FP021","","",""
"FP022","Female","4.5","Years"
"FP023","Female","14","Years"
"FP024","Male","4","Years"
"FP025","Male","4.5","Years"
"FP026","Male","11.5","Years"
"FP027","Male","3.5","Years"
"FP028","","",""
"FP029","Male","3.5","Years"
"FP030","Male","22","Months"
"FP031","Female","13","Years"
"FP032","Female","15","Years"
"FP033","Male","3","Years"
"FP034","Male","5","Years"
"FP036","Female","14","Years"
"FP037","Male","4","Years"
"FP038","Female","8.5","Years"
"FP039","Male","3.5","Years"
"FP040","Female","10","Years"
"FP041","Female","2","Years"
"FP042","Male","6","Years"
"FP043","Male","26","Months"
"FP044","Male","2.5","Years"
"FP045","Male","7.5","Years"
"FP046","Male","9","Years"
"FP047","Male","18","Months"
"FP048","Female","15","Years"
"FP049","Female","12","Years"
"FP050","Male","2.5","Years"
"FP051","Male","9","Years"
"FP052","Female","3.3","Years"
"FP053","Male","11","Months"
"FP054","","",""
"FP055","Female","11.6","Years"
"FP056","","",""
"FP057","","",""
"FP058","Male","3","Years"
"FP059","Male","9.4","Years"
"FP060","","",""
"FP061","","",""
"FP062","","",""
"FP063","Male","5","Years"
"FP064","Male","2.5","Years"
"FP065","","",""
"FP066","","",""
"FP067","Female","5.5","Years"
"FP068","Male","6","Years"
"FP069","Female","8.3","Years"
"FP070","Female","8.6","Years"
"FP071","","",""
"FP072","Male","3.5","Years"
"FP073","Female","7.8","Years"
"FP074","Male","2","Years"
"FP075","","",""
"FP076","Male","3","Years"
"FP077","Female","6","Years"
"FP078","Female","6","Years"
"FP079","","",""
"FP080","Female","4","Years"
"FP081","","",""
"FP082","Female","6","Years"
"FP083","Female","11.8","Years"
"FP084","Male","14","Months"
"FP085","Male","5","Years"
"FP086","Female","4","Years"
"FP087","Female","4","Years"
"FP088","","",""
"FP089","Male","3.5","Years"
"FP090","Male","1.9","Years"
"FP091","Female","4.5","Years"
"FP092","Male","2.2","Years"
"FP093","Female","16.8","Years"
"FP094","","",""
"FP095","","",""
"FP096","Male","1.75","Years"
"FP097","Male","2","Years"
"FP098","Male","4.5","Years"
"FP099","Male","33","Months"
"FP100","Male","10","Years"
"FP101","","",""
"FP102","Female","12.5","Years"
"FP103","Female","7","Years"
"FP104","","",""
"FP105","Female","7","Years"
"FP106","Female","3","Years"
"FP107","Female","8","Years"
"FP108","Male","22","Months"
"FP109","Male","10","Years"
"FP110","","",""
"FP111","Male","9","Years"
"FP112","Female","4","Years"
"FP113","","",""
"FP114","Male","1.5","Years"
"FP115","Female","4.5","Years"
"FP116","Female","4.5","Years"
"FP117","Male","27","Months"
"FP118","Female","1","Years"
"FP119","","",""
"FP120","","",""
"FP121","","",""
"FP122","Female","2.5","Years"
"FP123","Male","3.5","Years"
"FP124","","",""
"FP125","Male","18","Months"
"FP126","Male","1.6","Years"
"FP127","Male","5","Years"
"FP128","Female","7.2","Years"
"FP129","Female","6","Years"
"FP130","Male","4","Years"
"FP131","Male","9","Years"
"FP132","Male","3","Years"
"FP133","Male","12","Years"
"FP134","Male","5.5","Years"
"FP135","Male","2.5","Years"
"FP136","Female","4","Years"
"FP137","","",""
"FP138","Male","7","Years"
"FP139","","",""
"FP140","Female","7","Years"
"FP141","Male","8.5","Years"
"FP142","","",""
"FP143","","",""
"FP144","Male","6","Years"
"FP145","","",""
"FP146","","",""
"FP147","","",""
"FP148","Female","11.5","Years"
"FP149","","",""
"FP150","","",""
"FP151","","",""
"FP152","Male","5.5","Years"
"FP153","Female","14","Years"
"FP154","","",""
"FP155","Male","3","Years"
"FP156","Male","6","Years"
"FP157","Male","3","Years"
"FP158","Female","5","Years"
"FP159","Male","12.5","Years"
"FP160","","",""
"FP161","","",""
"FP162","Female","11","Years"
"FP163","Male","7.2","Years"
"FP164","Male","2.5","Years"
"FP165","","",""
"FP166","Male","5.5","Years"
"FP167","","",""
"FP168","Female","8","Years"
"FP169","Male","5.5","Years"
"FP170","Female","4.5","Years"
"FP171","Male","9.5","Years"
"FP172","Female","5","Years"
"FP173","Male","5","Years"
"FP174","Male","4.5","Years"
"FP175","Female","6.5","Years"
"FP176","Male","4.5","Years"
"FP177","Male","7","Years"
"FP178","","",""
"FP179","","",""
"FP180","","",""
"FP181","","",""
"FP182","Female","3.8","Years"
"FP183","Male","9","Years"
"FP184","Female","5.5","Years"
"FP185","","",""
"FP186","Male","11.5","Months"
"FP187","","",""
"FP188","Female","3.5","Years"
"FP189","Male","3.5","Years"
"FP190","","",""
"FP191","Female","16","Years"
"FP192","Female","10","Years"
"FP193","","",""
"FP194","Male","20","Months"
